firstName;lastName;office;password;department
Kristina;Chung;Paris;operations;Direction
Paige;Chen;Paris;operations;Direction
Sherri;Melton;Paris;operations;Direction
Gretchen;Hill;Paris;operations;Direction
Karen;Puckett;Paris;operations;Direction
Patrick;Song;Paris;operations;Direction
Elsie;Hamilton;Paris;operations;Direction
Hazel;Bender;Paris;operations;Direction
Malcolm;Wagner;Paris;operations;Traders
Dolores;McLaughlin;Paris;operations;Traders
Francis;McNamara;Paris;operations;Traders
Sandy;Raynor;Paris;operations;Traders
Marion;Moon;Paris;operations;Traders
Beth;Woodard;Paris;operations;Traders
Julia;Desai;Paris;operations;Traders
Jerome;Wallace;Paris;operations;Traders
Neal;Lawrence;Paris;operations;Traders
Jean;Griffin;Paris;operations;Traders
Kristine;Dougherty;Paris;operations;Traders
Crystal;Powers;Paris;operations;Traders
Alex;May;Paris;operations;Traders
Eric;Steele;Paris;operations;Traders
Wesley;Teague;Paris;operations;Traders
Franklin;Vick;Paris;operations;Secretary
Claire;Gallagher;Paris;operations;Secretary
Marian;Solomon;Paris;operations;Secretary
Marcia;Walsh;Paris;operations;Secretary
Dwight;Monroe;Paris;operations;Secretary
Wayne;Connolly;Paris;operations;Secretary
Stephanie;Hawkins;Paris;operations;Secretary
Neal;Middleton;Paris;operations;Secretary
Gretchen;Goldstein;Paris;operations;Secretary
Tim;Watts;Paris;operations;Secretary
Jerome;Johnston;Paris;operations;Secretary
Shelley;Weeks;Paris;operations;Secretary
Priscilla;Wilkerson;Paris;operations;Secretary
Elsie;Barton;Paris;operations;Secretary
Beth;Walton;Paris;operations;Secretary
Erica;Hall;Paris;operations;Secretary
Douglas;Ross;Paris;operations;Secretary
Donald;Chung;Paris;operations;Secretary
Katherine;Bender;Paris;operations;Secretary
Paul;Woods;Paris;operations;Secretary
Patricia;Mangum;Paris;operations;Secretary
Lois;Joseph;Paris;operations;Secretary
Louis;Rosenthal;Paris;operations;Accounting
Christina;Bowden;Paris;operations;Accounting
Darlene;Barton;Paris;operations;Accounting
Harvey;Underwood;Paris;operations;Accounting
William;Jones;Paris;operations;Accounting
Frederick;Baker;Paris;operations;Accounting
Shirley;Merritt;Paris;operations;Accounting
Jason;Cross;Paris;operations;Accounting
Judith;Cooper;Paris;operations;Accounting
Gretchen;Holmes;Paris;operations;Accounting
